mcsADDN:bdoHROUMapping
OU=00088,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 6-Southern Luzon; Southern Tagalog Area; Lucena-Merchan Branch
OU=00089,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 6-Southern Luzon; Laguna Area; Calamba-Paseo Uno Branch
OU=00090,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Las Piñas Area; SM City Molino Branch
OU=00091,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; North Central Luzon Area; SM City Tarlac Branch
OU=00092,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; Bulacan Area; Malolos-Congreso Branch
OU=00093,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; Nueva Ecija Area; Cabanatuan-Paco Roman Branch
OU=00094,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; North Western Luzon Area; Baguio-Legarda Branch
OU=00095,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; North Western Luzon Area; Vigan-Quezon Avenue Branch
OU=00096,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; North Western Luzon Area; Laoag-Castro Branch
OU=00097,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; North Western Luzon Area; La Union San Fernando-Rizal Ave Branch
OU=00098,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; North Central Luzon Area; Dagupan-Perez Branch
OU=00099,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Eastern Visayas Area; Tacloban-Zamora Branch
OU=00100,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 7-Visayas & Mindanao; Cebu 1 Area; Cebu Escario Branch
OU=00101,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Las Piñas Area; Cavite-Imus Anabu Branch
OU=00103,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 5-Metro Manila South; Bicutan/Sucat Area; NAIA 1 Branch
OU=00104,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 1-Northern Luzon; Bulacan Area; Meycauayan-MacArthur Highway Branch
OU=00105,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Banawe Area; Mayon Branch
OU=00107,OU=Main Bank,OU=Branches,DC=HO,DC=AD,DC=UAT:Branch Banking Group; Region 2-Metro Manila North; Commonwealth Area; Visayas Avenue Branch
